DESIGNATION,RA,DEC
HD 11640,28.59232864,8.78106511
HD 11643,28.34728348,-38.59450062
HD 116545,201.1082194,-4.3096172
HD 116594,201.1271576,12.43198879
HD 116706,201.2777727,23.85438641
HD 116711,201.4917994,-35.07586515
HD 116713,201.5334623,-39.75531887
HD 116768,201.5261859,-16.8582517
HD 116784,201.4165798,15.56405192
HD 116957,201.5693705,46.02797126
HD 117000,202.2287874,-62.10228695
HD 117025,202.2823014,-64.67583026
HD 117076,203.0442177,-79.66082735
HD 117187,201.5339301,72.39142893
HD 117200,201.7684897,64.73567818
HD 117203,202.0781479,31.1492325
HD 117242,201.9977036,52.74549013
HD 117246,202.3719596,-18.72921514
HD 117253,202.6050787,-58.66439498
HD 117261,202.109409,40.72938631
HD 117361,202.1911841,50.71822968
HD 117376,202.1121602,59.94594123
HD 117405,202.4900971,6.013787903
HD 117483,202.8439456,-42.46482489
HD 11755,29.70780813,73.15212922
HD 117566,201.73351,78.64400527
HD 117597,203.0228854,-38.39898979
HD 117651,203.3990693,-65.63278768
HD 117710,202.8151173,42.10627609
HD 117807,203.3719016,-43.42283338
HD 11785,28.76810646,-24.88964116
HD 117876,203.2012061,24.34589062
HD 117877,203.2884769,5.853175895
HD 117919,203.6204932,-48.27219721
HD 117923,203.7964011,-62.63082285
HD 117981,203.3439483,33.65759053
HD 11803,28.9748439,1.850747041
HD 118145,203.8544125,-22.61893567
HD 118180,203.7570148,12.5139705
HD 118261B,204.303133,-61.69236175
HD 118266,203.8896769,10.20472651
HD 118344,204.6896042,-70.44497502
HD 118421,204.4836425,-50.60117688
HD 11844,30.16006706,75.9527758
HD 118483,204.514451,-42.76498302
HD 118508,204.2460461,24.61328441
HD 118522,205.0019486,-70.78782938
HD 118536,204.1662596,49.48658646
HD 118559,204.4456844,-3.236125747
HD 11857,29.6386127,61.69774189
HD 118575,204.1400464,52.68737338
HD 118578,204.4332334,2.382245961
HD 118660,204.5330552,14.30185812
HD 118668,204.3026248,52.59298946
HD 118686,203.6776612,76.54670968
HD 1187,4.037563113,-31.44650608
HD 118788,204.2623976,67.03612857
HD 118839,204.7592999,18.26522508
HD 11884,29.49686028,47.09549525
HD 118840,204.8080409,10.50945668
HD 118876,204.9938055,-16.4465759
HD 118877,205.0361604,-27.57784457
HD 118889,204.8937189,10.74622264
HD 118904,204.295275,71.24221783
HD 118962,205.3061877,-46.02841122
HD 118970,204.8120174,51.8042369
HD 118998,205.402818,-45.49397651
HD 119035,205.0645294,31.01244373
HD 119062,205.3633333,-26.53134376
HD 119076,205.6853253,-61.89206313
HD 119081,205.1624764,28.06520126
HD 119124,205.0959227,50.51967594
HD 119250,205.7289075,-41.40127521
HD 11928,29.43233256,27.80411035
HD 119283,205.9886719,-59.23603652
HD 119361,205.9169402,-42.06753158
HD 11943,29.14443066,-32.13829761
HD 119445,205.6195141,41.67434506
HD 119458,205.681028,34.98907124
HD 11946,29.90885553,64.62152867
HD 119476,205.3751309,64.82235759
HD 119537,205.9757571,-5.499005008
HD 119584,205.9384118,22.70026264
HD 119637,205.8576306,45.52030419
HD 119699,206.6524104,-62.90962654
HD 119765,205.97811,52.06438914
HD 119784,206.3057302,10.32510973
HD 119938,206.8655697,-50.24922797
HD 11995,28.94379695,-60.86067517
HD 11995,28.94379695,-60.86067517
HD 120005,206.5558857,30.89658089
HD 120033,206.8058404,-9.709671216
HD 120048,206.579144,38.50356301
HD 12005,30.73753503,77.91623861
HD 120084,205.6619453,78.06464407
HD 120103,205.4153581,80.20374755
HD 120164,206.748299,38.5425965
HD 120213,208.9111182,-82.66629567
HD 120297,207.1619828,-2.840511525
HD 120369,207.4245795,-36.60685869
HD 120404,207.9476926,-69.40126799
HD 120420,207.1613673,31.19037529
HD 120457,207.5808454,-39.90090088
HD 120544,207.6439744,-19.89786566
HD 12055,29.29269247,-47.38523236
HD 120565,205.5976543,82.75222516
HD 120600,207.4367411,36.63292532
HD 120637,207.7117459,-7.784350843
HD 120690,207.8318824,-24.39175971
HD 120710,207.9589808,-32.99478006
HD 120759,208.0038354,-31.61929258
HD 12076,29.6153962,-7.078242874
HD 120787,207.4402402,61.48888088
HD 120819,207.7884545,34.6641568
HD 12082,29.72723215,18.35799146
HD 120848,207.9656446,10.1358139
HD 120874,207.6154173,58.53950837
HD 120913,208.7044211,-67.65217004
HD 120934,208.0768168,12.16509964
HD 120997,208.1360815,16.72891582
HD 121009,208.60061,-54.41212925
HD 121056,208.4653137,-35.3146631
HD 121087,208.5419177,-36.86403011
HD 121122,208.746773,-55.02144998
HD 121157,208.5668609,-28.74327019
HD 121164,208.2922211,28.64826005
HD 121221,208.5889229,-17.18015579
HD 12135,29.61121905,-33.06688832
HD 121384,209.1369644,-54.7056723
HD 12139,29.89935469,21.05850354
HD 121397,208.9348678,-31.2849353
HD 12140,29.85786665,12.29470402
HD 121439,210.1363922,-78.5900212
HD 121454,209.3376467,-62.48925171
HD 121457,207.5045569,78.99569101
HD 121474,209.4116074,-63.68684691
HD 121481,208.9497147,-9.559946613
HD 121523,209.0015589,-3.662057426
HD 121557,209.6298106,-65.80084485
HD 121682,209.0429626,32.03280309
HD 121683,209.1537279,15.89134934
HD 12173,30.79310725,73.85057696
HD 121764,209.27643,20.95382982
HD 121778,207.7536707,80.76789368
HD 121860,209.506915,7.463323289
HD 121922,209.2495666,54.58572189
HD 121932,210.2172249,-66.26902016
HD 121980,209.6659901,14.64901075
HD 122015,210.0785378,-46.12720879
HD 12203,29.9936318,6.035409629
HD 12204,29.87943204,-13.87241827
HD 122096,210.3265692,-57.22867324
HD 1221,3.978432283,-75.91162435
HD 122106,209.9552286,-3.550048051
HD 122132,209.6903267,46.59622116
HD 122135,210.0193756,-8.161850044
HD 122195,210.2854539,-37.47018795
HD 122210,210.3292568,-40.22193584
HD 122326,210.0977323,39.02992689
HD 122365,210.3352815,8.894917679
HD 122387,210.3592454,9.298624703
HD 122430,210.5947644,-27.42979637
HD 122443,210.4031618,17.66801129
HD 12245,30.30691949,41.212444
HD 122456,210.3429328,31.563428
HD 122470,213.3887124,-84.54463312
HD 122510A,210.7572993,-31.68374112
HD 122563,210.631835,9.68578271
HD 122574,210.4556237,40.42000502
HD 122675,210.5509708,45.75311081
HD 12270,29.47200176,-65.42472553
HD 122742,210.8851531,10.78538612
HD 122834,210.9868287,11.2823414
HD 122866,210.748885,50.97178326
HD 122905,211.6970663,-62.37431417
HD 122909,210.4606216,68.67865644
HD 122938,211.7702017,-63.44537256
HD 12296,29.91143028,-42.0309757
HD 123110,211.6250159,-34.89873256
HD 123377,212.6286732,-70.30548127
HD 123492,212.7574182,-69.71940076
HD 12354,30.38862282,23.39543416
HD 123569,212.4773098,-53.43935053
HD 123612,212.065961,24.31506631
HD 123657,211.9823847,43.85431544
HD 12367,30.37673442,17.95371412
HD 12369,30.1766186,-24.42222983
HD 123739,212.3668526,2.79757796
HD 123797,212.7597678,-48.78274264
HD 123888,212.7159521,-32.07569921
HD 1239,4.237619794,61.53317034
HD 12390,30.46005777,15.06709879
HD 123977,212.1907843,59.3375501
HD 123A,1.56790834,58.4368617
HD 1240,4.224711814,49.46189162
HD 12402,30.53344217,28.40021096
HD 124034,212.6806424,15.29073383
HD 124099,214.2296892,-77.66423791
HD 124147,213.3182813,-53.66571003
HD 124163,213.2236561,-41.6428709
HD 124186,212.8128836,32.29606043
HD 12431,30.0709324,-55.01276836
HD 124319,212.7558562,58.54874516
HD 124328,213.7841026,-61.9174567
HD 124369,212.5368095,68.8633721
HD 124471,214.1612267,-66.58792522
HD 124483,213.7560653,-40.90065088
HD 124639,216.0913894,-82.84828278
HD 12467,32.35443348,81.29597312
HD 124678,213.6479237,13.97580403
HD 124696,213.547587,35.60360345
HD 124713,213.6708774,21.87336362
HD 124730,213.0163715,69.43232747
HD 124755,213.5979823,41.5182886
HD 12477,29.92173114,-66.06653138
HD 124780,214.0765059,-33.24131283
HD 12479,30.64614482,13.47670573
HD 124857,214.2892241,-46.91068962
HD 124931,214.1255933,-3.196444417
HD 125059,214.3442435,-9.022786157
HD 125076,214.0098136,45.56656369
HD 125113,214.1415022,32.20846441
HD 12512,30.73991945,11.0187556
HD 125150,214.5985965,-33.22073382
HD 125193,213.9996117,56.68870898
HD 125349,214.3380116,51.30733156
HD 125406,214.4549152,48.00183419
HD 125442,215.1776602,-45.1873857
HD 125490,214.9712613,-6.746276551
HD 1255,4.190341886,10.24482398
HD 125609,215.1198924,0.181508785
HD 12563,30.61768815,-29.66560073
HD 125632,214.732831,54.86375906
HD 125658,215.0360549,30.4291
HD 125690,216.8164977,-78.62049174
HD 125728,215.1878751,26.07552221
HD 125734,215.5060904,-28.30846364
HD 125771,215.2890621,19.18022717
HD 125805,215.7160281,-39.62407033
HD 125809,215.8139263,-47.41698579
HD 125835,216.2762683,-68.19535117
HD 125862,215.6445594,-20.75752085
HD 125869,215.9520179,-53.1762895
HD 1259,4.175133589,-32.68854024
HD 12591,31.26646678,55.62207405
HD 12594,30.92750924,18.25316032
HD 12596,30.71537203,-23.88676976
HD 125990,216.4151335,-66.17299066
HD 126089,216.0607384,-33.08689774
HD 126093,216.1698231,-44.31132017
HD 126111,216.2272391,-46.52870713
HD 126129,215.8442267,8.446577323
HD 126141,215.777648,25.33846352
HD 126200,216.00363,8.243907157
HD 126209,217.4036519,-76.72920529
HD 126218,216.2023325,-24.80639018
HD 126226,216.7969185,-66.56804713
HD 126241,216.779322,-65.82171087
HD 126273,216.1492036,-2.34284809
HD 126307,216.008228,27.4131563
HD 126334,216.3658593,-28.89593184
HD 12634,30.30071572,-66.34871831
HD 126343,216.7448968,-59.23765769
HD 126363,216.3230367,-13.3531506
HD 126504,216.7996776,-46.13458698
HD 126596,218.4431613,-79.95527722
HD 126597,216.3714975,38.39296432
HD 126759,217.2161069,-47.9921763
HD 126766,216.9383867,-13.3594542
HD 12685,30.97448883,-17.51370589
HD 126862A,217.8189147,-67.71745136
HD 126896,217.132889,-10.00438599
HD 126903,217.3836467,-43.78046361
HD 126962,217.2005391,-5.218559731
HD 126973,217.3796149,-26.013344
HD 126981,217.5357118,-45.32147816
HD 126983,217.586951,-49.51921556
HD 12702,31.05219302,-11.85977745
HD 127065,217.0683754,36.19703734
HD 127082,217.6101176,-40.47612582
HD 127214,217.7967888,-40.38648474
HD 127285,217.3123283,44.26217775
HD 127304,217.4568519,31.79122025
HD 127369,218.8723988,-73.6943894
HD 127486,218.3841541,-54.99863844
HD 127501,218.3748562,-52.6795874
HD 127618,218.0540176,4.142309439
HD 127726,218.0839428,26.67716687
HD 12773,31.34710578,10.07688533
HD 127753,218.786639,-56.5626751
HD 1279,4.287710753,47.94738984
HD 127964,218.7114432,-20.43939226
HD 127976,218.9580375,-46.81582372
HD 128000,218.1289364,55.39794963
HD 128068,219.0790951,-46.24537428
HD 128093,218.5493378,32.53450798
HD 128154,219.3016624,-53.06085978
HD 128184,218.5206626,46.78651753
HD 128198,218.6602774,36.62585615
HD 128294,220.498367,-77.01150611
HD 128332,218.5681808,57.06422127
HD 128343,219.4023344,-43.1112716
HD 128385,218.398692,65.39561851
HD 128398,219.7474605,-59.14152033
HD 128402,219.0285848,23.2504803
HD 128413,219.5565529,-45.87211646
HD 128415,219.5735132,-49.90118368
HD 128429,219.2450778,-12.30372687
HD 12851,30.65704792,-70.41934969
HD 128563,219.368424,2.276967675
HD 128617,219.850682,-49.05587402
HD 128660,219.2320341,42.83090818
HD 128684,219.6206162,-3.611164002
HD 128750,219.5581461,18.29808929
HD 128752,219.7516219,-10.55471633
HD 128902,219.5518143,43.64226527
HD 128917,220.4836138,-58.61600939
HD 12894,31.14709865,-54.88179531
HD 128986,220.1340305,-14.04677826
HD 128998,219.5635507,54.02325768
HD 129017,220.460145,-47.27520817
HD 129092,220.8671695,-62.96669465
HD 129118,220.5390482,-42.78932233
HD 129132,220.0910488,21.97604077
HD 129153,220.1768857,13.534254
HD 129174,220.18156,16.41839584
HD 129175,220.1830377,16.41783097
HD 12918,34.19232408,83.56123179
HD 129216,220.5539731,-32.77091121
HD 12923,31.62235447,0.035418685
HD 129245,218.4070792,79.66079746
HD 12927,33.20746997,79.69162281
HD 129293,220.5094843,-12.234906
HD 129379,220.6874772,-19.31164327
HD 129405,221.2461581,-61.52168247
HD 12942,31.70132238,1.44218187
HD 129422,221.3229207,-62.87600991
HD 129430,220.4759272,21.12332594
HD 12944,31.58408083,-15.44639909
HD 129462,221.2304379,-58.47768744
HD 129537,220.6767888,14.70854065
HD 129566,220.8577313,-9.699878122
HD 129624,221.328291,-51.31500235
HD 129635,221.0736818,-24.12860261
HD 129685,221.2467241,-35.19184392
HD 129846,220.9350581,40.45934188
HD 129858,221.6205424,-47.44118609
HD 129899,222.8748692,-77.17601678
HD 129932,221.8023972,-52.20526952
HD 129944,221.5283199,-23.15329908
HD 12998,31.76084424,-8.60645593
HD 129980,221.5450478,-21.17640191
HD 130021,222.4042352,-68.93624963
HD 130025,221.335805,18.88503918
HD 130073,221.8836494,-43.55687238
HD 130084,221.3073697,32.7880437
HD 130086,221.4656504,13.10107477
HD 13013,32.13992186,44.45922087
HD 130157,221.8068152,-21.32486701
HD 130227,222.2785389,-56.66836091
HD 130325,221.979196,-12.84042604
HD 130380,222.5670218,-58.97676691
HD 13042,31.94683384,5.984709838
HD 130458A,223.3069161,-73.18995469
HD 130499,221.5974981,56.61639527
HD 130518,222.6832579,-55.00926146
HD 130529,222.3279902,-24.2514688
HD 130557,222.2253586,-0.847574462
HD 13057,32.01655685,15.80442918
HD 130576,222.8403808,-59.50360354
HD 130603,222.096776,24.36712622
HD 130705,222.3587342,10.04378021
HD 130766,222.3117057,25.15083665
HD 130817,222.2766689,37.811669
HD 130907,223.1430449,-50.58191659
HD 130917,222.4934198,28.61582862
HD 130932,223.1004198,-46.7599648
HD 130942,223.7250034,-69.86102001
HD 130989,222.895581,-17.79093677
HD 131005,222.2776251,54.23148051
HD 131040,222.385036,51.37451196
HD 13121,28.92571399,-84.75113956
HD 131342,223.8928745,-60.11466881
HD 13137,32.53248741,53.84289399
HD 131376,223.9915987,-60.90594745
HD 131415,223.5860316,-28.34821682
HD 131425,225.0468109,-77.16060028
HD 131444,222.5909215,65.64585396
HD 131446,223.0135963,46.47638644
HD 131476,223.4158027,6.241822789
HD 131477,223.4125571,2.23744976
HD 13155,32.13252791,-6.677949588
HD 131551,224.9822347,-75.03276252
HD 131705,224.2577787,-51.44733897
HD 131752,224.1487541,-39.41609334
HD 131786,223.8452242,6.784726797
HD 131919,224.307035,-29.15780043
HD 131923,224.5365677,-48.86445496
HD 131951,224.0550638,14.44625586
HD 131972,224.0018828,24.38591943
HD 13201,32.34694903,17.22337937
HD 132145,224.2648594,21.55529266
HD 132146,224.2986457,16.38810834
HD 132150,224.5217032,-17.36419977
HD 13218,32.0235897,-41.88047117
HD 132242,224.8632187,-43.15989358
HD 132296,224.4367472,18.98695273
HD 132301,224.9364483,-43.81190904
HD 132304,224.4229897,24.67418383
HD 132343,224.5672517,14.03764434
HD 13263,31.74562176,-65.94581826
HD 132701,225.0778462,7.648258757
HD 132833,225.3327333,-2.755015371
HD 132840,225.7391981,-47.94203583
HD 132879,225.2177985,22.0456138
HD 132883,225.3973203,-3.164649855
HD 132935,225.5174841,-8.344635105
HD 132953,225.5356306,-7.575305322
HD 132955,225.7468756,-32.64338933
HD 133049,226.7842902,-71.90498322
HD 13305,32.39485555,-24.34597392
HD 133340,226.3299823,-41.06724422
HD 13336,32.28842559,-43.51682638
HD 133388,225.3627613,60.20450807
HD 133392,225.7750074,35.20583204
HD 133399,226.5100409,-48.88343736
HD 133456,226.9866044,-65.27547416
HD 133459,225.9552607,27.08111397
HD 133469,226.3913226,-30.55048607
HD 133484,225.7767322,44.64455655
HD 133485,225.9020122,34.56564747
HD 133550,226.557934,-36.26463266
HD 133557,226.983964,-61.12870694
HD 133627,226.5443822,-24.1318773
HD 133631,226.8582906,-49.08857223
HD 133670,226.6134304,-22.03205831
HD 133683,227.3746027,-67.08415022
HD 133768,225.8612357,60.02556572
HD 133790,227.2244733,-59.14220198
HD 133792,227.3562388,-63.64302095
HD 13387,32.45224156,-40.86659303
HD 133872,222.9184241,83.93748927
HD 133921,228.8649143,-79.13669086
HD 133937,227.163197,-42.86801803
HD 133948,226.7786053,2.362536428
HD 133981,228.1413678,-72.77067366
HD 133994,225.9909489,65.91967431
HD 134012,226.8302251,8.958391668
HD 134047,226.9179997,5.497957664
HD 134140,227.2396263,-26.49727582
HD 134190,226.5700233,54.55637154
HD 13423,32.52037634,-43.81561386
HD 134255,227.5303801,-38.79260119
HD 134270,227.8165661,-55.34606755
HD 1343,4.386359002,-19.05110718
HD 134323,227.2227593,13.2355482
HD 134329,227.4636349,-23.98608786
HD 134335,227.1481593,25.10863135
HD 134345,228.1230637,-63.0337042
HD 134352,227.0765834,33.70656662
HD 134373,227.5774733,-26.33267031
HD 134444,227.8949162,-45.27739598
HD 13445,32.62294595,-50.82090584
HD 134468,228.2542118,-61.74381044
HD 134493,227.0813789,50.05485664
HD 13456,32.8424844,-10.05291999
HD 134597,228.1298442,-48.21917689
HD 134700,227.9581861,-16.15965628
HD 134758,228.0498504,-19.10659528
HD 134785,228.6295093,-59.73537325
HD 134807,227.0806641,65.78876973
HD 134837,228.2818057,-36.09153059
HD 134946,228.3224884,-24.00841355
HD 134963,228.0167483,22.31330469
HD 135051,228.4720704,-26.19360203
HD 135061,228.1963863,10.70202014
HD 13511,32.88984397,-17.74296848
HD 135160,229.1528474,-60.90401332
HD 13519,33.38963567,53.05858647
HD 135207,228.5783491,-14.20956508
HD 13522,33.15662595,24.16775847
HD 13523,32.88450226,-18.97683019
HD 135235,228.9736465,-48.07373153
HD 135263,228.3830345,22.98383078
HD 135294,220.0753645,87.21486434
HD 135345,229.0167139,-41.49117827
HD 135348,229.0435277,-43.48503081
HD 135367,228.7106908,-5.50251457
HD 135384,227.6853568,67.78099292
HD 135402,228.3982092,38.2644861
HD 135416,229.1183062,-44.50381681
HD 135430,229.2153521,-47.86463809
HD 135438,228.5253948,31.7877206
HD 135452,229.1349281,-39.56098073
HD 135468,229.228173,-46.2024767
HD 135530,228.5430983,42.17133977
HD 135534,229.0957093,-22.39940187
HD 135689,229.6917564,-54.36428009
HD 135719,230.6219948,-74.39951496
HD 135730,229.5394497,-41.06115452
HD 135734,229.6330706,-47.87536205
HD 135896,229.6720503,-31.20936734
HD 13594,33.50918207,47.48421426
HD 13594,33.50963152,47.48398549
HD 135944,228.9614518,50.93825368
HD 136014,229.8817386,-37.09780373
HD 136137,229.4712045,33.5943282
HD 136138,229.6020517,20.57266357
HD 136174,228.7153394,68.94574346
HD 136290,229.5622603,45.61983565
HD 136334,230.3970007,-40.74960135
HD 136359,230.7930224,-60.65728215
HD 136380,230.1521834,-5.119794741
HD 136403,229.8749963,32.51492856
HD 136479,230.2814673,-5.824899478
HD 136505,230.7896822,-51.73608619
HD 136537,230.9628938,-57.3306679
HD 136577,229.6897324,58.50355474
HD 136607,230.8539023,-46.14045731
HD 136643,230.2785373,24.9579253
HD 136646,230.6885162,-29.3419885
HD 13666,32.97616076,-47.17054986
HD 136672,231.5628363,-68.30912539
HD 136703,230.7378207,-26.68874045
HD 136751,230.1739243,44.4339207
HD 13678,33.78214806,55.08827503
HD 136795,230.2207808,45.66475277
HD 13683,33.37437224,5.012477883
HD 13686,33.98080916,63.23629027
HD 136881,229.9681616,62.47444669
HD 13690,33.71884447,48.78232075
HD 136919,229.3439814,74.04528816
HD 136937,231.2966142,-47.21745385
HD 136956,230.9674879,-12.36966407
HD 137071,230.6557239,39.58139932
HD 13725,34.17412043,67.28389425
HD 137261,231.5716742,-36.59853701
HD 137345,232.3154799,-65.89039153
HD 137366,232.7048297,-71.65422868
HD 13738,33.86937818,52.51100944
HD 137389,230.655328,62.04692093
HD 137390,231.0212302,45.27104214
HD 1374,4.538594385,46.21423975
HD 137432,231.8254338,-36.7676639
HD 137443,230.6598962,63.34104455
HD 137465,232.1133455,-51.59795717
HD 137476,231.9662291,-40.65962778
HD 1375,4.484574636,12.77138155
HD 137650,231.9240227,-14.95424708
HD 137704,231.5718139,34.33626055
HD 137709,232.3510781,-46.7327305
HD 137798A,232.2442709,-28.86716981
HD 137853,231.9119976,25.10156082
HD 137866,232.7004894,-53.37440173
HD 137895,231.6170942,52.05262731
HD 137928,231.6342651,54.02023296
HD 138085,232.3003341,16.39588827
HD 138105,232.6510709,-20.72868214
HD 138140,233.0687583,-50.87125324
HD 13818,33.990858,47.81172431
HD 138204,233.017149,-38.62285031
HD 138213,232.1848283,47.20152704
HD 138221,232.9591977,-32.88121347
HD 138245,231.9202944,62.27557229
HD 138265,231.9640959,60.67020424
HD 138268,232.9305432,-20.16506873
HD 138289,234.8249692,-77.91858752
HD 138338,232.2366997,55.19509883
HD 138341,232.5947727,31.28583887
HD 138383,232.6154807,36.80471518
HD 138395,233.3515873,-40.49112604
HD 138413,233.1528291,-19.67063102
HD 138425,233.0745171,-10.43897308
HD 138492,233.4455189,-37.64003647
HD 138498,234.0727878,-65.61354914
HD 138499,234.1173755,-66.5452956
HD 138505,233.5068867,-40.06658669
HD 138524,232.3376157,62.0994845
HD 138525,232.8429208,36.61648028
HD 138564,233.5867255,-39.34937021
HD 138685,233.2697593,16.01196738
HD 138763,233.5862818,-5.695069084
HD 138816,234.0501336,-44.39707667
HD 138852,232.7312002,64.20903697
HD 138867,235.4776377,-76.08214902
HD 138917,233.700427,10.53776821
HD 138923,234.0472402,-33.09290944
HD 138936,233.7687166,1.669102406
HD 138938,234.0537279,-28.99888971
HD 138965,235.0476084,-70.22812835
HD 139087,233.9722107,11.26560489
HD 139129,234.7058682,-52.37283928
HD 139160,234.3686991,-26.27996318
HD 139178,234.2198967,-6.026719766
HD 139193,233.7914165,43.16771775
HD 139236,234.895352,-55.42709995
HD 139254,234.4500243,-23.14206345
HD 139271,234.6758086,-39.12775154
HD 139284,233.9550308,38.37388605
HD 139290,234.5659409,-28.20677686
HD 139312,235.0453971,-56.91471489
HD 139329,234.5681469,-21.01659263
HD 139357,233.8173519,53.92215082
HD 139389,234.2230732,29.9909329
HD 13940,33.63297638,-41.166875
HD 139408,234.6209135,-14.51723514
HD 139411,234.6856371,-23.04953136
HD 139460,234.6665838,-8.794838512
HD 139461,234.6671248,-8.791628504
HD 139471,235.5073472,-64.18029992
HD 139493,233.9873704,54.6305034
HD 13951,32.72280262,-75.95885523
HD 139518,234.8388984,-23.15033277
HD 139599,235.2423868,-47.73628358
HD 139613,235.0644419,-31.21391806
HD 139761,234.7035112,34.67496416
HD 139778,234.3830988,54.5086338
HD 139798,234.5681453,46.79712922
HD 139828,235.6072105,-49.21758019
HD 139862,235.0430368,12.05289451
HD 139867,235.3878915,-29.29954511
HD 139871,235.6550837,-49.48963491
HD 139891,234.8426063,36.63681235
HD 139892,234.8443843,36.63577788
HD 139906,234.6424815,50.42311543
HD 139915,235.9802964,-60.28724336
HD 139920,234.7452905,46.92646708
HD 1400,4.619855903,62.20271706
HD 140002,235.9080554,-51.62974473
HD 140018,236.3648619,-65.74977678
HD 140086,235.1082841,37.51703615
HD 140117,234.7896175,57.92444372
HD 140227,234.4124219,69.28356387
HD 140269,235.7867363,-13.05672364
HD 140301,235.8535574,-15.04365432
HD 140329,236.0171008,-31.60370663
HD 140438,235.7938247,13.66755005
HD 140456,235.8428918,11.71094695
HD 140472,235.6691697,31.70870492
HD 140484,236.9714058,-65.44285055
HD 14057,33.85508369,-41.06887807
HD 14067,34.29334311,23.76764891
HD 140784,236.684133,-34.68256989
HD 140815,236.4146594,0.891024502
HD 140826,237.2356757,-60.36734374
HD 140842,237.0271321,-50.58979051
HD 140979,237.21009,-52.43830341
HD 140986,236.6892154,-6.120356716
HD 141054,237.3070008,-52.21584735
HD 141144,236.8619387,1.545828897
HD 141168,237.5293099,-53.20994525
HD 141194,237.4893839,-48.91245396
HD 141221,237.104079,-13.49929049
HD 141257,237.5726266,-49.04084126
HD 141274,237.2287361,-20.44862779
HD 141296,237.5682282,-45.40186446
HD 141353,237.0553972,13.78861472
HD 141377,237.2198539,-1.001270443
HD 141413,238.2367855,-65.15246379
HD 141456,237.0074715,31.73541926
HD 141472,236.643892,55.47512782
HD 141476,237.1198653,22.41530418
HD 141525,236.9430285,45.73288223
HD 141544,237.8801698,-47.06095507
HD 141554,237.6447961,-26.28975081
HD 141585,238.3455611,-62.60662687
HD 141589,237.39157,12.5587777
HD 141653,236.6670772,62.59930593
HD 141675,236.9081343,55.37664425
HD 141687,238.0547608,-45.28434015
HD 141724,238.2137714,-50.61586132
HD 141729,236.8827792,59.56852705
HD 141832,238.0526612,-29.88697196
HD 141846,239.9795933,-78.02753099
HD 141853,237.9098781,-14.13361991
HD 1419,4.571711849,11.20609151
HD 141913,238.7193128,-60.74367072
HD 14213,34.79495458,46.47221061
HD 142139,239.0242817,-60.48281218
HD 14214,34.50764165,1.759455703
HD 142165,238.4745763,-24.53327055
HD 142184,238.4827006,-23.97820254
HD 14221,34.84382145,48.95578893
HD 142244,238.2335582,17.40310934
HD 142250,238.625388,-27.3387469
HD 142357,238.395384,16.07483429
HD 142407,238.8773766,-31.08352263
HD 142448,239.0285078,-39.8644454
HD 14247,34.33372304,-35.98275006
HD 142497,240.1948894,-72.46305919
HD 142514,239.7421676,-65.03760976
HD 142529,239.2654871,-48.16260204
HD 142531,238.0687902,55.82695344
HD 142542,239.058717,-31.78586039
HD 14262,34.74141196,23.16778824
HD 142640,239.0602723,-14.39975354
HD 142676,239.9584577,-64.85417259
HD 142691,239.3387976,-36.18541652
HD 142699,239.8999489,-62.81500521
HD 142763,238.9160236,18.6206915
HD 14278,34.71832774,12.99244309
HD 14279,34.67321395,8.18070475
HD 142795,236.1523299,80.93217661
HD 142804,239.2717382,-16.03456384
HD 142883,239.4185519,-20.98317438
HD 142889,239.6282333,-37.50399611
HD 142919,239.9755572,-54.02095751
HD 142961,238.3706837,65.28840671
HD 143009,239.8758878,-41.74451529
HD 143033,239.6110858,-13.44293949
HD 14304,35.03755784,50.95793814
HD 143084,239.9909918,-40.6531526
HD 143101,240.2766587,-54.57808917
HD 143147,239.9701728,-31.16860698
HD 143187,238.9564733,58.91188591
HD 143209,239.3738845,39.69530666
HD 143238,240.7184181,-62.54171184
HD 143248,240.223846,-40.43532129
HD 143306,240.6172928,-56.85499514
HD 143321,240.5185716,-51.12084563
HD 143346,241.4821031,-72.40058834
HD 1434,4.576910715,-36.50986473
HD 143404,240.3315223,-31.88913319
HD 143435,239.7405859,36.64390048
HD 143548,241.025801,-59.17621254
HD 143584,239.7684653,49.88079899
HD 143617,240.6213146,-26.14804917
HD 143619,240.6644225,-29.13584592
HD 143687,240.1775042,31.5679904
HD 143699,240.8506851,-38.60266473
HD 14372,35.17307274,47.31076226
HD 143722,240.0494823,44.27928542
HD 14373,35.01869333,30.18793134
HD 14376,34.72426972,-19.53475123
HD 143787,240.8355947,-25.86541214
HD 143790,240.8929655,-32.00065728
HD 143857,240.7646363,-5.834652924
HD 1439,4.659698675,31.51719572
HD 143900,240.977905,-24.72628966
HD 143902,241.0740868,-33.21385904
HD 143928,241.1526708,-37.86345963
HD 14401,33.57929762,-76.35744817
HD 144015,240.5083681,40.0229824
HD 144149,240.957534,17.8028445
HD 144183,241.850348,-56.19096392
HD 144204,240.5232102,52.91577809
HD 144208,240.830729,36.63172115
HD 144334,241.5265257,-23.60642079
HD 144350,241.8063763,-42.06970872
HD 144362A,241.4358859,-6.291111078
HD 144415,241.8178311,-36.75588371
HD 144475,241.8950789,-36.71960011
HD 144481,242.4964493,-62.96742
HD 144534,242.2876964,-56.05796534
HD 144542,240.7887714,59.41060011
HD 144556,242.2999958,-55.17955185
