DESIGNATION,RA,DEC
2dFS 3235,019.2714405368300,-73.4433374467100 
V801 Arae,250.2316570639700,-53.7513744742100 
UV Ceti,250.2316570639700,-53.7513744742100 
PSR J0437-47,069.3158310757400,-47.2523734310100 
Wolf 864,300.121372640200,22.7108536509600 
4U 1700-37, 255.9865523455100,-37.8441425920700 
R Coronae Borealis,237.1433978447300,+28.1567488479000 
CF Ursae Majoris,178.2448639115646,+37.7186816980903 
V1500 Cygni,317.9024207577900,+48.1505423583900 
NC 55,094.8036199010600,+50.4768924500100 
R Aquarii,355.9560976263400,-15.2844934305200 
WR 6,103.5543498368300,-23.9283398110700 
KV Ursae Majoris,169.5449710085400,+48.0367540917000 
CEL 302,047.1066182804517,+26.3309447125486 
CH Cygni,291.1377739430500,+50.2414152885200 
RW Aurigae,076.9565260346,+30.4014381739 
Red Rectangle,094.9925772900,-10.6374183522 
Barnard's Star,269.4520769586187,+04.6933649665767 
Caldwell 39,112.2948630825400,+20.9117985800200 
NGC 2392,112.2948630825400,+20.9117985800200 
KR Muscae,173.3560036967900,-70.1947892494300 
AR Lacertae,332.1700758707000,+45.7422521842000 
II Pegasi,358.7668834931424,+28.6336792852394 
RS Canum Venaticorum,197.6537824685200,+35.9348847206700 
RS CVn,197.6537824685200,+35.9348847206700 
70 Virginis,202.1075357953671,+13.7787884191131 
V444 Cygni,304.8850954835199,+38.7316552877100 
R Cassiopeiae,359.6036178271000,51.3888091748300 
Cassiopeia Gamma-1, 019.6332103982600,+63.7425201675400 
Cas Gamma-1,019.6332103982600,+63.7425201675400 
GU Muscae,171.6108173165000,-68.6757993758200 
TRAPPIST-1,346.6223687285788,-05.0413992505183 
UX Arietis,051.6473986686500,+28.7150628912300 
AA Tauri,68.7309174593300,+24.4813982290500 
V1687 Cygni,305.1165657952900,+43.8545241222900 
T Coronae Borealis,239.8756759441300,+25.9201703841500 
RY Tauri,65.4892052292000,+28.4432098101700 
EX Hydrae,193.1009260299579,-29.2488888240342 
Zkh 149,165.8341450816425,+35.9698822727936 
Wolf 359,164.1205036259475,+07.0147231348017 
GF Star,263.0089718480900,-24.7455914358600 
W Ursae Majoris,145.9394602237300,+55.9525171196300 
X LMC X-3,084.7359681689600,-64.0842549826400 
AE Aquarii,310.0381662329900,-00.8708487764500 
V518 Persei,065.4280114472300,+32.9074830989400 
EGGR 71,159.9030661829600,+43.1025590598000 
BP Tauri,064.8159749281800,+29.1074797109700 
2E 1368,083.2064816842900,-66.3703340893800 
W Hydrae,207.2583409638050,-28.3676477796928 
AG Carinae,164.0482422560200,-60.4535585203500 
GM Aurigae,073.7957564903900,+30.3664927144100 
BY Draconis,278.4823836300259,+51.7191382723017 
V400 Cephei,003.2542375405200,+72.5219537052000 
Z Chamaeleontis,121.8656323964700,-76.5335180637100 
IK Tauri,058.3703853097100,+11.4060819953800 
Feige 110,349.9933320184400,-05.1656030952400 
2E 1522,084.9117851268600,-69.7432032093400 
2E 2788 189.0042989423300,-39.8695056848300 
Wolf 562,229.8617789114604,-07.7222748604072 
NGC 6210,251.1229962580700,+23.7998394328600 
2E 4308,299.9015132708700,+22.7211977943200 
M27,299.9015132708700,+22.7211977943200 
M 27,299.9015132708700,+22.7211977943200 
DM Tauri,068.4530569848900,+18.1694370723000 
VX Sagittarii,272.0168511628100,-22.2240558052900 
V651 Monocerotis,107.3438399168500,-00.8065586103700 
NGC 2346,107.3438399168500,-00.8065586103700 
SU Aurigae,073.9974445302300,+30.5670832244700 
Zkh 164,175.5462222295741,+26.7065696618828 
OY Carinae,151.5919971976300,-70.2346068501500 
V1974 Cygni,307.6318941673800,+52.6307881884000 
Zkh 348,348.3207290015033,+57.1683566176719 
Ross 270,332.8807320136892,+18.0928272176522 
Z Canis Majoris,105.9298330881900,-11.5517247405100 
R Aquilae,286.5927128843300,+08.2300035171600 
Trumpler 14,160.9860,-59.5530 
NGC 5824,225.994217,-33.068528 
Palomar 5,229.02208,-00.11139 
NGC 5897,229.35167,-21.01011 
M5,229.63842,+02.08103 
M 5,229.63842,+02.08103 
NGC 5904,229.63842,2.08103 
NGC 5927,232.00287,-50.67303 
NGC 5946,233.86908,-50.65972 
BH 176,234.7810417,-50.05272222
NGC 5986,236.51250,-37.78642 
Palomar 14,242.74583,+14.96167 
Lynga 7,242.76521,-55.31778 
M80,244.26004,-22.97608 
M 80,244.26004,-22.97608 
M4,245.89675,-26.52575 
M 4,245.89675,-26.52575 
NGC 6121,245.89675,-26.52575 
NGC 6093,244.26004,-22.97608
NGC 6101,246.45050,-72.20219  
NGC 6144,246.80775,-26.02350 
NGC 6139,246.916613,-38.849175 
Terzan 3,247.16708,-35.35361 
M107,248.13275,-13.05378 
M 107,248.13275,-13.05378 
NGC 6171,248.13275,-13.05378 
ESO 452-11,249.85625,-28.39778 
M13,250.423475,+36.461319 
M 13,250.423475,+36.461319 
NGC 6205,250.423475,+36.461319 
NGC 6229,251.744337,+47.526772 
M12,251.80908,-01.94853 
M 12,251.80908,-01.94853 
FSR 1735,253.044174,-47.058055 
NGC 6218,251.80908,-01.94853 
NGC 6235,253.35567,-22.17744 
M10,254.28771,-4.10031 
M 10,254.28771,-4.10031 
NGC 6254,254.28771,-4.10031 
NGC 6256,254.88617,-37.12142 
Palomar 15,254.9629,-00.5333 
Zwicky 1,254.9629,-00.5333 
M62,255.30250,-30.11236 
M 62,255.30250,-30.11236 
NGC 6266,255.30250,-30.11236 
M19,255.65704,-26.26794 
M 19,255.65704,-26.26794 
NGC 6273,255.65704,-26.26794 
NGC 6284,256.119779,-24.764228 
NGC 6287,256.2895444864000,-22.7078053472700 
NGC 6293,257.54342,-26.58172 
51 Pegasi,344.3665853552400,+20.7688325111400 
Helvetios,344.3665853552400,+20.7688325111400 
NGC 2100,85.530000,-69.207497 
NGC 294,13.27329,-73.38039 
HD 4893,12.3440995690100,-73.4786598435700 
Lindsay 39,12.31733,-73.37183 
NGC 267,12.0108,-73.2775 
NGC 261,11.6313,-73.1044
ROCC01,244.5,-28
ROCC02,244.5,-26
ROCC03,244.5,-24
ROCC04,244.5,-22
ROCC05,246.5,-28
ROCC06,246.5,-26
ROCC07,246.5,-24
ROCC08,246.5,-22
ROCC09,248.5,-28
ROCC10,248.5,-26
ROCC11,248.5,-24
ROCC12,248.5,-22 
SMC01,11,-72
SMC02,12,-72
SMC03,13,-72
SMC04,14,-72
SMC05,11,-73
SMC06,12,-73
